accuracy,auroc_macro,auroc_micro,bucket,count_class_0,count_class_1,count_class_2,count_class_3,documents,f1_class_0,f1_class_1,f1_class_2,f1_class_3,f1_macro,f1_micro,method,precision_class_0,precision_class_1,precision_class_2,precision_class_3,precision_macro,precision_micro,recall_class_0,recall_class_1,recall_class_2,recall_class_3,recall_macro,recall_micro,seed,tpr_at_1_fpr_class_0,tpr_at_1_fpr_class_1,tpr_at_1_fpr_class_2,tpr_at_1_fpr_class_3,tpr_at_1_fpr_macro,tpr_at_1_fpr_micro,tpr_at_1_fpr_mixed_avg,tpr_at_5_fpr_class_0,tpr_at_5_fpr_class_1,tpr_at_5_fpr_class_2,tpr_at_5_fpr_class_3,tpr_at_5_fpr_macro,tpr_at_5_fpr_micro,tpr_at_5_fpr_mixed_avg
0.8826979472140762,0.9657156210629785,0.9762930602018672,0–200,87,91,149,14,341,0.9378531073446328,0.8156424581005587,0.9013157894736842,0.7272727272727273,0.8455210205479007,0.8826979472140762,Dual / Editor,0.9222222222222223,0.8295454545454546,0.8838709677419355,1.0,0.9089096611274031,0.8826979472140762,0.9540229885057471,0.8021978021978022,0.9194630872483222,0.5714285714285714,0.8117781123451107,0.8826979472140762,42,0.8620689655172413,0.4945054945054945,0.37583892617449666,0.6428571428571429,0.5938176322635939,0.6979472140762464,0.5686813186813187,0.9655172413793104,0.7912087912087912,0.8590604026845637,0.6428571428571429,0.814660894532452,0.9120234604105572,0.717032967032967
0.9416909620991254,0.9830686297123183,0.9874239262552166,200–400,329,349,591,103,1372,0.9864661654135338,0.938953488372093,0.9427385892116182,0.7849462365591398,0.9132761198890962,0.9416909620991254,Dual / Editor,0.9761904761904762,0.9528023598820059,0.9250814332247557,0.8795180722891566,0.9333980853965985,0.9416909620991254,0.9969604863221885,0.9255014326647565,0.961082910321489,0.7087378640776699,0.898070673346526,0.9416909620991254,42,1.0,0.8997134670487106,0.6446700507614214,0.7475728155339806,0.8229890833360282,0.8775510204081632,0.8236431412913456,1.0,0.9799426934097422,0.9475465313028765,0.7961165048543689,0.9309014323917469,0.9701166180758017,0.8880295991320555
0.9599578503688093,0.985220219522996,0.9902394808207705,400–600,248,214,432,55,949,0.9979879275653923,0.9461358313817331,0.9613636363636363,0.8085106382978723,0.9284995084021586,0.9599578503688093,Dual / Editor,0.9959839357429718,0.9483568075117371,0.9441964285714286,0.9743589743589743,0.965724036546278,0.9599578503688093,1.0,0.9439252336448598,0.9791666666666666,0.6909090909090909,0.9035002478051544,0.9599578503688093,42,1.0,0.8598130841121495,0.6898148148148148,0.7454545454545455,0.8237706110953775,0.9357218124341412,0.8026338147833475,1.0,0.9953271028037384,0.9791666666666666,0.7818181818181819,0.9390779878221467,0.9810326659641728,0.8885726423109601
0.9915014164305949,0.9988767258852838,0.9980445500191266,600–800,87,99,151,16,353,1.0,0.9897959183673469,0.9901639344262295,0.967741935483871,0.9869254470693619,0.9915014164305949,Dual / Editor,1.0,1.0,0.9805194805194806,1.0,0.9951298701298701,0.9915014164305949,1.0,0.9797979797979798,1.0,0.9375,0.9793244949494949,0.9915014164305949,42,1.0,0.9797979797979798,0.9933774834437086,0.9375,0.977668865810422,0.9915014164305949,0.9586489898989898,1.0,1.0,1.0,1.0,1.0,0.9943342776203966,1.0
0.9945945945945946,0.999591553349492,0.9997954711468224,800+,49,47,83,6,185,1.0,0.9894736842105263,0.9939393939393939,1.0,0.99585326953748,0.9945945945945946,Dual / Editor,1.0,0.9791666666666666,1.0,1.0,0.9947916666666666,0.9945945945945946,1.0,1.0,0.9879518072289156,1.0,0.9969879518072289,0.9945945945945946,42,1.0,1.0,0.9879518072289156,1.0,0.9969879518072289,0.9945945945945946,1.0,1.0,1.0,0.9879518072289156,1.0,0.9969879518072289,1.0,1.0
0.8768328445747801,0.9619938671093335,0.9709439489971132,0–200,87,91,149,14,341,0.9230769230769231,0.8163265306122449,0.9054054054054054,0.6666666666666666,0.82786888144031,0.8768328445747801,Dual / Editor,0.9512195121951219,0.7619047619047619,0.9115646258503401,1.0,0.906172224987556,0.8768328445747801,0.896551724137931,0.8791208791208791,0.8993288590604027,0.5,0.7937503655798033,0.8768328445747801,2026,0.7701149425287356,0.21978021978021978,0.4966442953020134,0.5714285714285714,0.5144920072598851,0.5835777126099707,0.3956043956043956,0.9770114942528736,0.7802197802197802,0.8590604026845637,0.7142857142857143,0.832644347860733,0.8856304985337243,0.7472527472527473
0.9409620991253644,0.9819229866022288,0.9855847691013099,200–400,329,349,591,103,1372,0.9847560975609756,0.9333333333333333,0.9444904722452361,0.7840909090909091,0.9116677030576135,0.9409620991253644,Dual / Editor,0.9877675840978594,0.9241573033707865,0.9253246753246753,0.9452054794520548,0.9456137605613439,0.9409620991253644,0.9817629179331308,0.9426934097421203,0.9644670050761421,0.6699029126213593,0.8897065613431882,0.9409620991253644,2026,0.993920972644377,0.830945558739255,0.4703891708967851,0.7572815533980582,0.7631343139196188,0.8899416909620991,0.7941135560686566,1.0,0.9799426934097422,0.961082910321489,0.8252427184466019,0.9415670805444583,0.9715743440233237,0.902592705928172
0.9599578503688093,0.9862592618621719,0.9882178678460272,400–600,248,214,432,55,949,0.9959677419354839,0.9481132075471698,0.9616252821670429,0.8043478260869565,0.9275135144341633,0.9599578503688093,Dual / Editor,0.9959677419354839,0.9571428571428572,0.9383259911894273,1.0,0.9728591475669421,0.9599578503688093,0.9959677419354839,0.9392523364485982,0.9861111111111112,0.6727272727272727,0.8985146155556165,0.9599578503688093,2026,1.0,0.9158878504672897,0.7592592592592593,0.7454545454545455,0.8551504137952736,0.9199157007376185,0.8306711979609176,1.0,0.9766355140186916,0.9722222222222222,0.8181818181818182,0.941759888605683,0.9747102212855637,0.8974086661002549
0.9830028328611898,0.9982285344772531,0.9981836517961516,600–800,87,99,151,16,353,1.0,0.979381443298969,0.9805194805194806,0.9333333333333333,0.9733085642879458,0.9830028328611898,Dual / Editor,1.0,1.0,0.9617834394904459,1.0,0.9904458598726115,0.9830028328611898,1.0,0.9595959595959596,1.0,0.875,0.9586489898989898,0.9830028328611898,2026,1.0,1.0,0.9867549668874173,0.9375,0.9810637417218543,0.9943342776203966,0.96875,1.0,1.0,1.0,0.9375,0.984375,0.9971671388101983,0.96875
0.9891891891891892,0.9989403388162215,0.9993474555636718,800+,49,47,83,6,185,0.9896907216494846,0.9791666666666666,0.9939393939393939,1.0,0.9906991955638862,0.9891891891891892,Dual / Editor,1.0,0.9591836734693877,1.0,1.0,0.9897959183673469,0.9891891891891892,0.9795918367346939,1.0,0.9879518072289156,1.0,0.9918859109909024,0.9891891891891892,2026,1.0,0.9148936170212766,0.9879518072289156,1.0,0.975711356062548,0.9891891891891892,0.9574468085106382,1.0,1.0,0.9879518072289156,1.0,0.9969879518072289,1.0,1.0
